root	deva	gana	voice	voice_attested	aupadeshika_guess	artha_guess	mw_meaning	attested	note	mw_id
stuB	स्तुभ्	1	P. Ā.	P. Ā.	stuBa~^	BAzAyAm	to utter a joyful sound, hum, make a succession of exclamations, shout (esp. app	stoBate|stamBe|stoBayati|atuzwuBat		254799
stuc	स्तुच्	1	Ā.	Ā.	stuca~\		to be bright or propitious ()	stocate|prasAde		254797
su	सु	1	P. Ā.	P.	su^	gatO	P. , , to go, move, ( ).	savati|°te|sru	voice cp=P. Ā. vs attested=P.	245236
su	सु	1			su	preraRe	to urge, impel, incite			245237
Su	शु	1	P.		Su	gatO	to go &c.	Sav		218744
sUd	सूद्	1	Ā.	P. Ā.	sUda~\		to put or keep in order, guide aright	sUdayati|°te|sUdayAna|asUzudat|°ta	voice cp=Ā. vs attested=P. Ā.	251301
SuD	शुध्	1	P. Ā.	P. Ā.	SuDi~^		to purify (Ā. ‘one's self’, become or be pure)	SuDyati|°te|SuSoDa|aSuDat|SodDA	attested has nasal → i~ (idit)	219366
SumB	शुम्भ्	1	Ā.	P. Ā.	SumBa~\	dIptO	to beautify, embellish, adorn, beautify one's self. (Ā.) look beautiful or hands	yaTA|SumBate|SuBAna|SumBamAna|pra-√ SumB	voice cp=Ā. vs attested=P. Ā.	219616.1
SumB	शुम्भ्	1	P.	P.	SumBa~	hiMsAyAm	(for See √ ) cl. 1. P. , to kill, harm, injure (cf. √ , ).	SuB|SumBati|SuB|ni-√ SuB		219846
SuRq	शुण्ड्	1	P.	P.	SuRqa~	Bedane	to break, crush, disturb, vex, torment	SuRqati		219331
SuRW	शुण्ठ्	1	P.	P.	SuRWa~		to limp, be lame	SozaRe|SuRWayati|SozaRe		219320
sUz	सूष्	1	P.		sUza~		to bring forth			251832
svad	स्वद्	1	P. Ā.	P. Ā.	svada~^	AsvAdane	to taste well, be sweet or pleasant to (dat. or gen.), &c. &c.	svAdati|°te|KAd|svadayati|°te		258787
svaj	स्वज्	1	Ā.	P. Ā.	svaji~\		to embrace, clasp, encircle, twist or wind round, ; &c.	svajate|asvaYji|svaYjayati|asizvaYjat|sisvaNkzate	attested has nasal → i~ (idit); voice cp=Ā. vs attested=P. Ā.	258776
Svaj	श्वज्	1	Ā.	Ā.	Svaji~\	gatO	to go, move, ()	Svajate|SvaYjate	attested has nasal → i~ (idit)	224191
svaNg	स्वङ्ग्	1	P.	P.	svaNga~	gatO	to go, move	SvaNgati|SvaNg|svaNgati		224189.2
SvaNg	श्वङ्ग्	1	P.	P.	SvaNga~	gatO	to go, move	SvaNgati		224189
svaNk	स्वङ्क्	1	Ā.		svaNka~\	gatO	to go, move	SvaNkate		224188.2
SvaNk	श्वङ्क्	1	Ā.	Ā.	SvaNka~\	gatO	to go, move	SvaNkate		224188
svar	स्वर्	1	P.	P.	svara~	dIptO	(prob. = a lost √ ; cf. √ ), cl. 1. P. , Caus. , to shine.	sur|svf|svarati|svarayati		259079
SvAtr	श्वात्र्	1	P.	P.	SvAtra~	gatO	to go, move	SvAtrati		224466
SvaYc	श्वञ्च्	1	Ā.	P.	SvaYca~\		to become open, open (intrans.), receive with open arms (only )	SaSvacE|SvaYcayati|uc-CvaYc	voice cp=Ā. vs attested=P.	224190.1
svaYj	स्वञ्ज्	1	Ā.	P. Ā.	svaYja~\		to embrace, clasp, encircle, twist or wind round, ; &c.	svajate|asvaYji|svaYjayati|asizvaYjat|sisvaNkzate	voice cp=Ā. vs attested=P. Ā.	258776.1
SvaYj	श्वञ्ज्	1	Ā.	Ā.	SvaYja~\	gatO	to go, move, ()	Svajate|SvaYjate		224191.1
svid	स्विद्	1	P. Ā.	P. Ā.	svida~^		to sweat, perspire, ; ; ; &c.	svedate|svedayati|asizvidat|sisvedayizati|sisvitzati		259802
Svind	श्विन्द्	1			Svinda~		to be white			224875
syad	स्यद्	1	Ā.	P. Ā.	syadi~\	gatO	to move or flow on rapidly, flow, stream, run, drive (in a carriage), rush, hast	syandayati|asizyadat|syandayADyE|sisyandizate|sisyantsate	attested has nasal → i~ (idit); voice cp=Ā. vs attested=P. Ā.	257403.1
tal	तल्	1			tala~		to accomplish (a vow)	talita		83502
tamb	तम्ब्	1			tamba~	gatO	to go	°bati		83014
taMs	तंस्	1	P. Ā.	P.	taMsa~^	gatO	to decorate, ; Ā. to decorate one's self, ; pf. ) ‘to move’, pour out (fig. a wi	taMsayati|ataMsayat|tantasyati|vi-√ taMs|kaRqv-Adi	voice cp=P. Ā. vs attested=P.	81566
tan	तन्	1			tana~		to believe in			82219
tand	तन्द्	1	Ā.		tanda~\		to become relaxed	a-tandra		82581
tandr	तन्द्र्	1	P.		tandra~	karaRe	(Subj. ) to make languid	°drat|°drayate		82582
taNg	तङ्ग्	1	P.		taNga~	gatO	to go			81651
taNk	तङ्क्	1	P.		taNka~	ardane	to live in distress			81649
tarb	तर्ब्	1	P.		tarba~	gatO	to go	°bati		83479
taRq	तण्ड्	1	Ā.		taRqa~\		(= √ ) cl. 1. Ā. , to beat	taq|°qate		81720
Tarv	थर्व्	1	P.		Tarva~	gatO	to go			89201
tfp	तृप्	1	Ā.	P. Ā.	tfpa~\		to one's self, become satiated or satisfied, be pleased with (gen. instr., or ra	satisfy|nAgnis tfpyati kAzWAnAm|atfpyan brAhmaRA DanEH|satisfy|tarpati	voice cp=Ā. vs attested=P. Ā.	86723
toq	तोड्	1			toqa~	anAdare	to disregard	°qate		87142
traMs	त्रंस्	1			traMsa~	BAzAyAm	‘to speak’ or ‘to shine’	°sati|°sayati		87411
trand	त्रन्द्	1			tranda~		to be busy			87421
traNg	त्रङ्ग्	1			traNga~		cl. 1. id.	°Nk|°NK		87413.2
traNk	त्रङ्क्	1			traNka~		cl. 1. id.	°NK|°Ng		87413
traNK	त्रङ्ख्	1			traNKa~		cl. 1. id.	°Nk|°Ng		87413.1
tras	त्रस्	1		P.	trasa~	kampane	to tremble, quiver, be afraid of (abl. gen., rarely instr.), and (p. f. ), ; ; &	tarasantI|trAsayati		87510
triNK	त्रिङ्ख्	1	P.		triNKa~		v.l. for	traNK		88598
tumb	तुम्ब्	1			tumba~	ardane	to distress,: cl. 10. , ‘id.’, or ‘to be invisible’,.	°bati|°bayati		85944
tump	तुम्प्	1			tumpa~	hiMsAyAm	to hurt	pra-stump		85943
tumP	तुम्फ्	1			tumPa~	hiMsAyAm	to hurt	pra-stump		85943.1
tund	तुन्द्	1			tunda~		to be active, (v.l.)	ni-√ tud		85892
tuqq	तुड्ड्	1	P.		tuqqa~	anAdare	to disregard			85830
tuRq	तुण्ड्	1	Ā.		tuRqa~\	hiMsAyAm	to hurt			85833
tuS	तुश्	1		Ā.	tuSa~\	kzaraRe	to drip, trickle	toSate		86263
tuS	तुश्	1			tuSa~	tfptO	to be satisfied or pleased with (instr.)			86264
tvaNg	त्वङ्ग्	1			tvaNga~	kampane	to wave, tremble, jump, leap, gallop			88990
Urd	ऊर्द्	1	Ā.		Urda~\	mAne	to measure			38104
Urv	ऊर्व्	1	P.	P.	Urva~	hiMsAyAm	&c., to kill, hurt	Urvati|UrvAMcakAra		38324
uYC	उञ्छ्	1		P.	uYCa~	uYCe	to gather, glean,;; &c.	uYCati		30615
vakk	वक्क्	1	Ā.	Ā.	vakka~\	gatO	to go, (v.l.)	vakkate		184508
vand	वन्द्	1	Ā.	P. Ā.	vanda~\	stutO	to praise, celebrate, laud, extol	vandyate|avandi|vandi|vandayati|avavandat	voice cp=Ā. vs attested=P. Ā.	186179
vaNg	वङ्ग्	1	P.		vaNga~	gatO	to go			184580
vaNG	वङ्घ्	1	Ā.		vaNGa~\	gatO	to go			184613
vaNk	वङ्क्	1	Ā.		vaNka~\	gatO	to be crooked, go crookedly	vAvakre		184348.1
vaNK	वङ्ख्	1	P.	P.	vaNKa~	gatO	(cf. √ ) cl. 1. P. , to go, move	vaK|vaNKati		184576
vANkz	वाङ्क्ष्	1	P.	P.	vANkza~		(connected with √ cf. ) cl. 1. P. , to wish, desire, long for	vAYC|kANkz|vANkzati		189801
vaqQ	वड्ढ्	1	P.	P.	vaqQa~		on, Vārtt. 12.	vaqQati		185298
varP	वर्फ्	1	P.	P.	varPa~	gatO	‘to go’ or ‘to kill’	varPati		187798
vaRq	वण्ड्	1	Ā.	P.	vaRqa~\	viBAge	to partition, share, divide	vezwane|viBAjane|vaRqayati	voice cp=Ā. vs attested=P.	185370
vaRw	वण्ट्	1		Ā.	vaRwa~\	viBAge	to some also ), to partition, apportion, share, divide	vaRwyate|vaRwyamAna		185343
vaRW	वण्ठ्	1	Ā.	Ā.	vaRWa~\	gatO	(pf. &c.), to go or move alone, go unaccompanied	vaRWate|vavaRWe		185356
vaS	वश्	1		P. Ā.	vaSa~^		to will, command (p. , ‘having at command’)	uSamAna|uSat|uSAna|uSat-tama|vASayati		188394
vaww	वट्ट्	1	P.	P.	vawwa~		on, Vārtt. 12.	vawwati		185252
vAYC	वाञ्छ्	1	P.	P.	vAYCa~		to Gr. also pf. ; aor. ; fut. , &c.)	-vAYCayati|aBi-√ vAYC		190461
vazk	वष्क्	1	Ā.	Ā.	vazka~\	gatO	to go, (v.l. for ).	vazkate|vask		188557
veD	वेध्	1	Ā.	Ā.	veDa~\	kampane	(= ) cl. 1. Ā. , to tremble, quake	vyaT|veDate		206156
vehl	वेह्ल्	1	P.	P.	vehla~		v.l. for √	vehlati|vell		206543
vewy	वेट्य्	1	P.	P.	vewya~		(v.l. ) cl. 1. P. , ‘to be wicked’ or ‘to sleep’ () g. .	vedy|vewyati|DOrtye svapne ca|kaRqv-Adi		205421
vfj	वृज्	1		P. Ā.	vfji~^		() (Ved. and also and ; Impv. ; , ; pf. , ; aor. , ; , , Pot. , ; , ; , , ; , ; 	vfkte|varjate|vfNkte|vfNktAm|vfNgDvam	attested has nasal → i~ (idit)	204309
vIj	वीज्	1	P. Ā.	P. Ā.	vIja~^		to fan, cool by blowing upon or fanning	vIjayati|vIjyate		203453
vrIq	व्रीड्	1	Ā.	P.	vrIqa~\		to also cl. 4. P. ; pf. Gr.; aor. , ; fut. , , )	vrIqayati|vIqayati|vIq	voice cp=Ā. vs attested=P.	210765
vrUs	व्रूस्	1		P.	vrUsa~	hiMsAyAm	(also written , or ; v.l. ) cl. 1. 10. P. , , to hurt, kill	vrUz|brUs|vrIs|vrUsati|vrUsayati		210819
vuNg	वुङ्ग्	1	P.		vuNga~	varjane	to forsake, abandon	buNgati|buNg		145554.1
wOk	टौक्	1	Ā.		wOka~\		v.l. for √ .	QOk		81299
yakz	यक्ष्	1	P. Ā.	P. Ā.	yakza~^	pUjAyAm	(perhaps Desid. of a √ , from which and ) cl. 1. Ā. P. , , (prob.) to be quick, 	yah|yahu|yahva|yakzati|°te		169014
yantr	यन्त्र्	1	P.		yantra~	banDane	to restrain, curb, bind ()			170247
yuD	युध्	1	P.	P. Ā.	yuDa~		to fight, wage war, oppose or (rarely) overcome in battle	saha|samam|yuDyati|yuDyate|yoDayati	voice cp=P. vs attested=P. Ā.	172012
yuNg	युङ्ग्	1	P.	P.	yuNga~	varjane	to desert, relinquish, abandon	yuNgati		171727
zazk	षष्क्	1	P.	P.	zazka~	gatO	(cf. √ ), cl. 1. P. , to go, move	zvazk|zazkati		225508
zukk	षुक्क्	1	Ā.	Ā.	zukka~\	gatO	to go, move, (v.l.)	zukkate		225553
zWIv	ष्ठीव्	1		P. Ā.	zWIva~^		to spit, spit out, expectorate, spit upon (loc.)	zWIvyate|azWevi|zWevayati|awizWivat|atizWivat		225563.1
anUde	अनूदे	2	P.		anUde	gatO	() cl. 2. P. , to rise or come up after, &c.	-A-√ i|anUd-Eti		7725
anvatI	अन्वती	2	P.		anvatI		(√ ) cl. 2. P. , to pass over to, follow	i|-atyeti		8735
anvave	अन्ववे	2	P.		anvave		(√ ) cl. 2. P. , to follow, walk up to or get into.	i|-avEti		8797
anve	अन्वे	2	P.		anve	gatO	() cl. 2. P. , to come after, to follow as an adherent or attendant,, &c.	A-√ i|-Eti		8927
atI	अती	2	P.	Ā.	atI		to pass by, elapse, pass over, overflow	aty-etavE|atIyate	voice cp=P. vs attested=Ā.	3316
Bf	भृ	2	P. Ā.	P. Ā.	Bf^		P. () ( only, )	biBarti|biBarti|biBfte|Barti|biBrat		152494
cit	चित्	2	Ā.	P. Ā.	cit\	grahaRe	to perceive, fix the mind upon, attend to, be attentive, observe, take notice of	cetayati|°te|cetayaDvam|cetayat|cetayeTAm	voice cp=Ā. vs attested=P. Ā.	73474
DA	धा	2	P.	P. Ā.	DA		rarely cl. 1. Ā. P.	daDati|°te|DAti|DAyeta|daDO	voice cp=P. vs attested=P. Ā.	100607
dAS	दाश्	2		P.	dAS	pUjAyAm	to serve or honour a god (dat. or acc.) with (instr.), ; &c.	dASayati		91851
dF	दॄ	2	P. Ā.	P. Ā.	dF^		2. sg. Subj. , 2. 3. sg. impf. 2. sg. , (pf. , aor. , Sch.; Subj. P. , ; Ā. ; Po	darzi|dart|adar|dadAra|adarat		95496
do	दो	2		P. Ā.	do^		&c. (pf. 3. pl. Ā. , ; aor. and , ; Prec. , ; , ; , ; cf. )	dyati|-dadire|adAsIt|adAt|deyAt		96951
DrA	ध्रा	2		P.	DrA	gatO	or , &c. to go	DrAti|Drati|Drayati		102267
drE	द्रै	2	P.	P.	drE		( and) cl. 1. Ā. P. , (cf. ) or cl. 2. P. (pf. ,; aor. ,; fut. ,) to sleep.	drAyati|°te|ni-|drAti|-dadrO		98000
DrE	ध्रै	2		P.	DrE		to be pleased or satisfied	DrAti|DrAti|Drayati|Dra		102395
DU	धू	2	Ā.	P. Ā.	DU\		&c. &c.	Dunoti|°nute|Duvati|ni-|DUvet	voice cp=Ā. vs attested=P. Ā.	101481
DyE	ध्यै	2		P. Ā.	DyE^	cintAyAm	to think of, imagine, contemplate, meditate on, call to mind, recollect (with or	manasA|°si|cetasA|DiyA|hfdaye		102185
fD	ऋध्	2		Ā.	fD\			fDnoti|fRadDi|AnarDa|arDitA|arDizyati		38930
gA	गा	2	P. Ā.	P.	gA^	gatO	to go, go towards, come, approach (with acc. or loc.), ; &c.	jigAti|jigIzati	voice cp=P. Ā. vs attested=P.	64493
gam	गम्	2	P.	P. Ā.	gam	gatO	to go, move, go away, set out, come, &c.	prati|kAle gacCati|mitratAM gacCati|jAnuByAm avanIM-√ gam|DaraRIM mUrDnA-√ gam	voice cp=P. vs attested=P. Ā.	63409
gE	गै	2		P. Ā.	gE^	BAzAyAm	to sing, speak or recite in a singing manner, sing to (dat. ), praise in song (w	gIyate|°yamAna|jage|gApayati|gAyayeyur		66852
glE	ग्लै	2	P. Ā.	P.	glE^	karaRe	to feel aversion or dislike, be averse or reluctant or unwilling or disinclined 	glapayati|-glApayati|ava-|pra-|vi-	voice cp=P. Ā. vs attested=P.	69170
GrA	घ्रा	2	P.	P. Ā.	GrA	jYAne	to smell, perceive odour	GrApayati|ajiGrapat|°Grip°|jeGrIyate	voice cp=P. vs attested=P. Ā.	70246
jan	जन्	2	Ā.	P. Ā.	jan\		to generate, beget, produce, create, cause, ; &c.	jAyate|°ti|ajAyata|jayamAna|janizyate	voice cp=Ā. vs attested=P. Ā.	76735
jAtavedas	जातवेदस्	2			jAtavedas		(), (fr. √ , cl. 6) ‘having whatever is born or created as his property’, ‘all-p	°ta-|vid|vid		78614
kaMs	कंस्	2	Ā.		kaMs\	gatO	to go			41369
kf	कृ	2	P. Ā.	P. Ā.	kf^	karaRe	to do, make, perform, accomplish, cause, effect, prepare, undertake, &c.	varzARi daSa cakruH|kzaRaM kuru|kftakzaRa|arDaM-√ kf|arDa		54148
kU	कू	2	P.	Ā.	kU	gatO	to sound, make any noise, cry out, moan, cry (as a bird), coo, hum (as a bee) &c	kavate|kokUyate|kokavIti|cokUyate	voice cp=P. vs attested=Ā.	53778
kzam	क्षम्	2	P.	P. Ā.	kzam		to be patient or composed, suppress anger, keep quiet, ; ; &c.	kzamasva me tad|kzamayati|kzAmayate|kzamayAm Asa|kzamApaya	voice cp=P. vs attested=P. Ā.	59030
kzar	क्षर्	2	P.	P.	kzar	kzaraRe	to flow, stream, glide, distil, trickle, ; ; ; &c.	mUtram|cakzAra|kzArayati|kzAra|kzArita		59141
kzi	क्षि	2		P.	kzi		(3. du. , 3. pl. ; Subj. 2. sg. , 2. sg. , 3. du. , 1. pl. ; pr. p. ; aor. Subj.	kzitas|kziyanti|kzayat|kzayas|kzayatas		59272
nU	नू	2		P. Ā.	nU^	Sabde	to sound, shout, exult	nUyate|nAvayati|anUnavat|nunUzati|nunAvayizati		111762.1
pfYj	पृञ्ज्	2	Ā.		pfYj\		.	parjanya		128327.1
pi	पि	2	Ā.		pi\	vfdDO	to swell, overflow, be exuberant, abound, increase, grow			124606.1
pI	पी	2	Ā.		pI\	vfdDO	to swell, overflow, be exuberant, abound, increase, grow			124606
piYj	पिञ्ज्	2	Ā.	P.	piYj\		to tinge, dye, paint	pfc|piYjayati	voice cp=Ā. vs attested=P.	123559
pre	प्रे	2	P. Ā.	Ā.	pre^	gatO	to come forth, appear, begin	asmAl lokAt|itas|preyate	voice cp=P. Ā. vs attested=Ā.	140888
rAs	रास्	2	P. Ā.	P. Ā.	rAs^	dAne	() (Ved. also Ā. ; Impv. , , ; p. ; 3. sg. and ; pf. , ; aor. Subj. &c. Pot. ; C	rAti|rAte|rirIhi|rarAsva|rariDvam		176008.1
rih	रिह्	2	P. Ā.	P. Ā.	rih^	snehane	to lick, kiss, caress	rihati|ririqQi|rirIhi|riP|rerihyate		178173
sas	सस्	2	P.	P. Ā.	sas		to sleep, &c. (cf. above)	sAsayati|asIzasat|sisasizati|sAsasyate|sAsasti	voice cp=P. vs attested=P. Ā.	239787
SiYj	शिञ्ज्	2	Ā.	Ā.	SiYj\	BAzAyAm	() (accord. to also cl. 1. 10. Ā. , ; pr. p. , or; pf. Gr.; aor. ,; fut. , ,), t	SiNkte|SiYjate|SiYjayate|SiYjAna|SiYjat		216845
snA	स्ना	2	P.	P. Ā.	snA	karaRe	to bathe, perform the ceremony of bathing or certain prescribed oblations (esp. 	avaBfTam|snAyate|asnAyi|snApayati|snapayati	voice cp=P. vs attested=P. Ā.	256200
snu	स्नु	2	P.	P. Ā.	snu		to also ; only in pres. base; Gr. also pf. , ; fut. or &c.)	pra-√ snu|snAvayati|asuzRavat|sisnAvayizati|susnAvayizati	voice cp=P. vs attested=P. Ā.	256456
SrE	श्रै	2	P.	P. Ā.	SrE		to also cl. 2. P. ; pf. ; aor. ; Prec. or inf. Gr.)	SrAyate|aSrAyi|Srapayati|°te|aSiSrapat	voice cp=P. vs attested=P. Ā.	222686.1
stu	स्तु	2	P. Ā.	P. Ā.	stu^	stutO	to praise, laud, eulogize, extol, celebrate in song or hymns (in ritual, ‘to cha	stUyate|astAvi|stAyamAna|mfn|stAvayati		254632
su	सु	2	P.		su	preraRe	to urge, impel, incite			245237
sU	सू	2	Ā.	P. Ā.	sU\	DAraRe	to beget, procreate, bring forth, bear, produce, yield, &c. &c.	sUyate|asAvi|sAvayati|-susUzati	voice cp=Ā. vs attested=P. Ā.	250739
svap	स्वप्	2	P.	P. Ā.	svap	patane	to sleep, fall asleep (with , ‘to sleep for a hundred years, sleep the eternal s	varza-Satam|supyate|asvApi|svApayati|svapayati	voice cp=P. vs attested=P. Ā.	258948
tak	तक्	2			tak		to rush along			81570
takz	तक्ष्	2		P.	takz		to form by cutting, plane, chisel, chop, &c.	tvac|takzayati|atatakzat|tvakz		81602
u	उ	2	Ā.		u\		to call to, hail	ota|A-uta		30001
anvf	अन्वृ	3	P. Ā.		anvf^		(cl. 3. P. ) aor. Ā. , to follow in rising	-iyarti|-arta		8923
ci	चि	3	Ā.		ci\	jYAne	to observe, perceive (with acc. or gen.)	cinoti|°nvat|°nvAna|ci|cekite		73362
cit	चित्	3	P. Ā.	P. Ā.	cit^	grahaRe	to perceive, fix the mind upon, attend to, be attentive, observe, take notice of	cetayati|°te|cetayaDvam|cetayat|cetayeTAm		73474
dI	दी	3	P. Ā.		dI^	dIptO	to shine, be bright			92646
DI	धी	3	Ā.		DI\		to √ 1. ; pf. , , or , , ; ; )	deDyat		101254
diS	दिश्	3	P.	P. Ā.	diS		to point out, show, exhibit	diSyate|deSayati|°te|adIdiSat|didikzati	voice cp=P. vs attested=P. Ā.	92472
gam	गम्	3	P.	P. Ā.	gam	gatO	to go, move, go away, set out, come, &c.	prati|kAle gacCati|mitratAM gacCati|jAnuByAm avanIM-√ gam|DaraRIM mUrDnA-√ gam	voice cp=P. vs attested=P. Ā.	63409
gE	गै	3	P.	P. Ā.	gE	BAzAyAm	to sing, speak or recite in a singing manner, sing to (dat. ), praise in song (w	gIyate|°yamAna|jage|gApayati|gAyayeyur	voice cp=P. vs attested=P. Ā.	66852
GrA	घ्रा	3	P. Ā.	P. Ā.	GrA^	jYAne	to smell, perceive odour	GrApayati|ajiGrapat|°Grip°|jeGrIyate		70246
juz	जुष्	3	P.		juz		to be pleased or satisfied or favourable, ; &c.	tanvAm|°vas|jozayAse		80017
jYA	ज्ञा	3	P. Ā.	P. Ā.	jYA^	jYAne	to know, have knowledge, become acquainted with (acc.; rarely gen. ; ), perceive	tasya mAM tanayAM jAnIta|mfzA|sarpizo|jYapayati|jYAp°		80318
kf	कृ	3	P. Ā.		kf^	BAzAyAm	to make mention of, praise, speak highly of (gen.)	carkarmi|carkirAma|carkiran|carkftAt|carkfDi		54683
mad	मद्	3	P. Ā.	P. Ā.	mad^	prIRane	to rejoice, be glad, exult, delight or revel in (instr. gen. loc., rarely acc.),	mAdayati|°te|amImadat|amamadat|mAdayaDyE		155288
pA	पा	3	Ā.		pA\	darSane	add √ , cl. 3. Ā. , to rise against, be hostile (see √ , p. 41; , p. 181; √ , p.	pA|pIpIte|anUt-|pA|ut-pA		120944.1
pfc	पृच्	3	P. Ā.		pfc^	saNGAte	to mix, mingle, put together with (instr., rarely loc.; , ‘to fix the arrow upon	DanuzA Saram|pF|pfj		128314
pi	पि	3	P. Ā.		pi^	vfdDO	to swell, overflow, be exuberant, abound, increase, grow			124606.1
pI	पी	3	P. Ā.		pI^	vfdDO	to swell, overflow, be exuberant, abound, increase, grow			124606
Si	शि	3	P.	P.	Si	dAne	to some = √ ) cl. 3. P. (Impv. , ), to grant, bestow	satisfy|Sinoti|Sinute|SizAya|Sizye		216481
So	शो	3	P. Ā.	P. Ā.	So^		to whet, sharpen (Ā. ‘one's own’ weapons or horns)	SAyate|SAyayati|SiSAsati|SASAyate|SaSeti		221333
tF	तॄ	3		P.	tF		to pass across or over, cross over (a river), sail across, &c.	tArayati|°rayat|titIrzati|titarizati|°rIz°		86817
vac	वच्	3	P. Ā.	P. Ā.	vac^	BAzAyAm	to speak, say, tell, utter, announce, declare, mention, proclaim, recite, descri	prati|tam idaM vAkyam uvAca|punar|ucyate|avAci		184615
vaS	वश्	3		P. Ā.	vaS^		to will, command (p. , ‘having at command’)	uSamAna|uSat|uSAna|uSat-tama|vASayati		188394
vyac	व्यच्	3		P. Ā.	vyac^	vezwane	to encompass, embrace, comprehend, contain	vicati|vyAcayati|avivyacat|vivyacizati|vevicyate		208354
yu	यु	3	P. Ā.	P.	yu^	viBAge	to separate, keep or drive away, ward off (acc.), exclude or protect from (abl.)	yavayati|yAvayati|yoyavIti|ayoyavIt|yoyuvat	voice cp=P. Ā. vs attested=P.	171682
aDyavaso	अध्यवसो	4	P.		aDyavaso		to undertake, attempt, accomplish			4609
Ar	आर्	4	P.	P.	Ara~	stutO	to praise, and (perhaps connected with √ ).	Aryanti|f		25983
banD	बन्ध्	4	P. Ā.	P. Ā.	banDa~^	banDane	to bind, tie, fix, fasten, chain, fetter, &c. &c.	baDyate|°ti|banDayati|ababanDat|bADayati		142512
BlAS	भ्लाश्	4	Ā.	Ā.	BlASa~\	dIptO	(connected with √ ), cl. 1. Ā. 4. , (pf. , or &c.), to shine, beam, glitter	BrAS|BlASate|°Syate|baBlASe|BleSe		153863
BraS	भ्रश्	4	P. Ā.	P. Ā.	BraSi~^	patane	to fall, drop, fall down or out or in pieces, &c. &c.	BraMSayati|BrASayati|BrASya|ni-√ BraMS|abaBraMSat	attested has nasal → i~ (idit)	153448.1
BrAs	भ्रास्	4	Ā.	P. Ā.	BrAsa~\	dIptO	to shine, glitter	BrASayati|abaBrASat|abiBraSat|biBrASizate|bABrASyate	voice cp=Ā. vs attested=P. Ā.	153761.1
BrAS	भ्राश्	4	Ā.	P. Ā.	BrASa~\	dIptO	to shine, glitter	BrASayati|abaBrASat|abiBraSat|biBrASizate|bABrASyate	voice cp=Ā. vs attested=P. Ā.	153761
dA	दा	4	P.	P.	dA	banDane	(cf. √ ), to bind, only in , .	dyati|A-|dA|dIzva		91425
DA	धा	4	P. Ā.	P. Ā.	DA^		rarely cl. 1. Ā. P.	daDati|°te|DAti|DAyeta|daDO		100607
daG	दघ्	4		P.	daGa~	patane	to fall short of	aDas|daNG|daGyati|ati-|A-		89565
dfh	दृह्	4	P. Ā.	P. Ā.	dfhi~^	karaRe	to make firm, fix, strengthen, ; ; &c. (p. , )	°te|dfMheTe|dfMhAmahE|dfhya|°hyasva	attested has nasal → i~ (idit)	95068.1
dfMh	दृंह्	4	P. Ā.	P. Ā.	dfMha~^	karaRe	to make firm, fix, strengthen, ; ; &c. (p. , )	°te|dfMheTe|dfMhAmahE|dfhya|°hyasva		95068
du	दु	4	Ā.	P. Ā.	du\		to be burnt, to be consumed with internal heat or sorrow (Pres. , ; ; ; but ofte	dunoti|dUyate|dunoti|dAvayati|adUduvat	voice cp=Ā. vs attested=P. Ā.	93282
duh	दुह्	4	Ā.	P. Ā.	duha~\		or , &c. (pl. Ā. , &c.; , &c.; , &c.; impf. P. , ; , &c.; Ā. pl. , ; 3. sg. , pl	dugDe|duhe|duhate|duhrate|duhre	voice cp=Ā. vs attested=P. Ā.	94848
fYj	ऋञ्ज्	4	P. Ā.		fYja~^	karaRe	to make straight or right, make proper, arrange, fit out, decorate, ornament			38849
gaD	गध्	4		P.	gaDa~		to be mixed	gaDyati		62957
gur	गुर्	4		Ā.	gura~\	karaRe	to raise, lift up (or ‘to make effort’)	ati-|apa-|aBi-|ava-|A-		65978
jur	जुर्	4			jura~	vayohAnO	to become old or decrepit, decay, perish, -	a-jurya		80005
jyA	ज्या	4	Ā.	P. Ā.	jyA\		to overpower, oppress, deprive any one (acc.) of property (acc.), ; &c.	jyAyas|jIyate|°yate|sarva-jyAnim|jyApayati	voice cp=Ā. vs attested=P. Ā.	80523
kram	क्रम्	4	P. Ā.	P. Ā.	krama~^	gatO	to step, walk, go, go towards, approach (with , acc. or loc.), ; ; &c.	acCa|aDi|krAntvA|a-krAnta|kramayati		57749
kuts	कुत्स्	4	P.	P.	kutsa~	anAdare	(perhaps related to ) cl. 10. P.; rarely cl. 1. P. , and; once cl. 4. P. ,], to 	kutas|kutsayati|°yate|kutsati|kutsyati		52017
kuw	कुट्	4	P.	P. Ā.	kuwa~	kOwilye	to become crooked or curved, bend, curve, curl	kuwyati|kowayate|kuww|kuRw	voice cp=P. vs attested=P. Ā.	51515
kziv	क्षिव्	4	P.		kziva~		to eject from the mouth, spit, vomit, (v.l. )	zWiv|kzIb		59649
kzviq	क्ष्विड्	4	P.	P. Ā.	kzviqa~	ArdrIBAve	to be wet or unctuous, exude, emit sap, cl. 4. P. id.	kzveqate|kzvedate|kzvidyati	voice cp=P. vs attested=P. Ā.	60652
laz	लष्	4	P. Ā.	P. Ā.	laza~^		to wish, desire, long for (acc.), ; &c. (mostly with prep. )	aBi|lAzayati|alIlazat|las|lilazizati		181985
mfc	मृच्	4	P.	P.	mfca~	hiMsAyAm	(cf. √ ) cl. 10. P. (cl. 4. P.; Prec. ), to hurt, injure, annoy,;;	marc|marcayati|mfcyati|mfkzIzwa		167114
